epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,6084.96,1.2809,0.55212,1.00653,0.91104,0.85015,0.89599,0.5594,1.30069,inf,1.01306,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6155.67,1.28059,0.55055,1.00544,0.91098,0.85082,0.89578,0.55951,1.30018,inf,1.01282,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6227.67,1.27871,0.54932,1.00509,0.91101,0.84995,0.89551,0.55935,1.30082,inf,1.01294,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6296.78,1.27771,0.54816,1.00629,0.91208,0.84974,0.8958,0.55889,1.30113,inf,1.01311,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6368.59,1.27709,0.54713,1.00536,0.91183,0.85024,0.89594,0.55912,1.30124,inf,1.01305,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6441.11,1.27529,0.54654,1.00447,0.9123,0.84955,0.8959,0.55903,1.30126,inf,1.0132,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6510.9,1.27394,0.54485,1.004,0.91176,0.84997,0.89599,0.55874,1.30102,inf,1.01318,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6589.07,1.27448,0.54546,1.00348,0.91137,0.8506,0.89579,0.55895,1.30113,inf,1.01331,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6662.04,1.27512,0.54488,1.00231,0.91073,0.85091,0.8958,0.5588,1.3015,inf,1.01336,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6735.39,1.27275,0.54267,1.00447,0.91046,0.85117,0.89561,0.55879,1.30163,inf,1.01359,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6808.34,1.27157,0.54214,1.0034,0.91094,0.85085,0.89557,0.55875,1.30187,inf,1.01381,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6881.06,1.27068,0.541,1.00237,0.91063,0.85122,0.89562,0.55884,1.30165,inf,1.01372,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6954.13,1.27009,0.54015,1.00181,0.91069,0.85129,0.89557,0.55881,1.30188,inf,1.01385,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7026.71,1.26745,0.53872,1.00138,0.91033,0.85178,0.89555,0.55871,1.30204,inf,1.01393,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7099.28,1.26677,0.53754,1.00094,0.91069,0.85178,0.89562,0.55865,1.30218,inf,1.01399,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7173.08,1.26835,0.53875,1.00095,0.91068,0.85178,0.89552,0.55863,1.30222,inf,1.01391,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,7246.57,1.26678,0.53699,1.00046,0.91051,0.85209,0.89545,0.55846,1.30244,inf,1.0139,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
